id,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
967,良,69.0,244.0,20.0,53.0,12.0,41.0,0.84,94.0
968,良,62.0,182.0,17.0,46.0,15.0,42.0,0.76,93.0
969,良,90.0,303.0,25.0,69.0,14.0,49.0,0.79,113.0
970,轻度污染,101.0,350.0,50.0,97.0,20.0,34.0,1.14,143.0
971,轻度污染,109.0,353.0,48.0,93.0,16.0,40.0,0.9,139.0
972,轻度污染,105.0,322.0,45.0,95.0,16.0,44.0,0.9,138.0
973,良,94.0,304.0,43.0,92.0,16.0,40.0,0.89,132.0
974,轻度污染,115.0,340.0,54.0,107.0,23.0,47.0,1.14,141.0
975,良,64.0,219.0,31.0,57.0,10.0,25.0,0.75,103.0
976,良,55.0,186.0,20.0,33.0,8.0,22.0,0.75,105.0
977,良,81.0,284.0,39.0,69.0,12.0,43.0,0.94,111.0
978,轻度污染,110.0,336.0,58.0,102.0,13.0,46.0,0.93,142.0
979,良,97.0,347.0,55.0,99.0,18.0,42.0,0.9,127.0
980,良,72.0,278.0,40.0,75.0,14.0,33.0,0.73,89.0
981,良,89.0,329.0,38.0,74.0,16.0,41.0,0.95,121.0
982,良,100.0,338.0,48.0,94.0,16.0,42.0,0.96,119.0
983,良,64.0,205.0,35.0,70.0,15.0,35.0,0.93,78.0
984,优,32.0,55.0,14.0,24.0,7.0,34.0,0.81,45.0
985,优,26.0,46.0,4.0,7.0,7.0,17.0,0.55,54.0
986,优,39.0,109.0,12.0,26.0,7.0,19.0,0.64,77.0
987,良,57.0,225.0,34.0,58.0,11.0,25.0,0.72,80.0
988,良,61.0,264.0,15.0,50.0,13.0,27.0,0.6,104.0
989,良,61.0,222.0,21.0,58.0,18.0,43.0,0.71,89.0
990,良,58.0,135.0,25.0,64.0,17.0,61.0,0.74,56.0
991,良,73.0,211.0,29.0,67.0,15.0,47.0,0.8,87.0
992,良,79.0,228.0,34.0,70.0,15.0,44.0,0.67,100.0
993,良,93.0,276.0,47.0,85.0,15.0,41.0,0.83,117.0
994,良,90.0,270.0,49.0,91.0,17.0,41.0,0.86,120.0
995,良,86.0,279.0,41.0,81.0,14.0,37.0,0.78,117.0
996,良,65.0,240.0,39.0,79.0,14.0,35.0,0.95,49.0
997,优,31.0,63.0,7.0,20.0,7.0,17.0,0.64,61.0
998,优,28.0,40.0,8.0,17.0,7.0,24.0,0.7,56.0
999,优,34.0,64.0,12.0,17.0,7.0,30.0,0.84,54.0
1000,优,27.0,14.0,13.0,25.0,9.0,37.0,1.23,17.0
1001,优,38.0,82.0,16.0,34.0,10.0,30.0,1.26,32.0
1002,优,36.0,53.0,12.0,25.0,8.0,26.0,0.78,68.0
1003,优,47.0,107.0,20.0,46.0,11.0,43.0,0.81,56.0
1004,良,90.0,341.0,61.0,97.0,13.0,37.0,1.13,101.0
1005,良,80.0,290.0,45.0,86.0,11.0,25.0,0.85,105.0
1006,优,32.0,20.0,9.0,20.0,9.0,35.0,0.94,56.0
1007,良,53.0,200.0,28.0,49.0,10.0,28.0,1.08,84.0
1008,优,44.0,141.0,11.0,42.0,11.0,29.0,0.82,76.0
1009,优,42.0,98.0,11.0,42.0,11.0,38.0,0.82,62.0
1010,良,54.0,169.0,22.0,56.0,14.0,52.0,1.03,42.0
1011,良,54.0,161.0,33.0,59.0,11.0,54.0,1.19,47.0
1012,良,64.0,203.0,40.0,73.0,13.0,59.0,1.15,41.0
1013,优,40.0,47.0,15.0,43.0,14.0,52.0,1.04,37.0
1014,优,40.0,64.0,16.0,37.0,9.0,39.0,1.03,51.0
1015,优,50.0,80.0,27.0,50.0,10.0,34.0,1.19,46.0
1016,良,54.0,117.0,36.0,60.0,11.0,38.0,1.1,67.0
1017,良,63.0,173.0,37.0,73.0,17.0,47.0,1.22,65.0
1018,良,71.0,193.0,50.0,82.0,13.0,42.0,1.3,52.0
1019,优,48.0,142.0,33.0,49.0,10.0,46.0,1.35,26.0
1020,优,25.0,23.0,8.0,13.0,8.0,33.0,0.92,42.0
1021,优,23.0,19.0,6.0,10.0,8.0,27.0,0.77,48.0
1022,优,30.0,63.0,17.0,27.0,7.0,25.0,0.93,44.0
1023,良,69.0,306.0,42.0,88.0,11.0,40.0,1.19,32.0
1024,优,39.0,89.0,22.0,40.0,10.0,38.0,1.1,27.0
1025,优,35.0,78.0,19.0,30.0,10.0,39.0,1.14,37.0
